,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit
3233,BCG Vaccine_Share of Population_MD,BCG Vaccine,MDA,Republic of Moldova,1.64E-05,0.019016435,0.470897544,1986.439579,0.532192635,0.463412637,0.530747026,9.332070651,1992,30,,,,,,,,,,,,,,,,,err,,,0.000366972,Low Material Use,1921,,1927,Standardized [1],Simple [1],Individuals [2],2.5,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3234,MCV1 Vaccine_Share of Population_TM,MCV1 Vaccine,TKM,Turkmenistan,err,,0.611545024,1990.021812,0.834152109,0.568515265,0.833359515,7.185814586,1992,30,,,,,,,,,,,,,,,,,..,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3235,MCV1 Vaccine_Share of Population_MD,MCV1 Vaccine,MDA,Republic of Moldova,err,,0.585846834,1990.36492,0.609831635,0.53394773,0.603285147,7.501020567,1992,30,,,,,,,,,,,,,,,,,..,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3236,BCG Vaccine_Share of Population_RS,BCG Vaccine,SRB,Serbia,err,,0.002150433,4307.067905,0.171416989,err,0.603285147,2043.518275,1992,30,14.00667381,0.69863625,42.99842957,4.670197458,-2952755653,4.5452147,8,6.35441665,7.05449785,9272.550933,0.76466,-0.250155582,1,UM,,,UM,Democracy,9.134813802,0.000366972,Low Material Use,1921,,1927,Standardized [1],Simple [1],Individuals [2],2.5,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3237,HEPB3 Vaccine_Share of Population_ID,HEPB3 Vaccine,IDN,Indonesia,0.030085797,-2.50E+26,0.194855362,1992.63453,0.752721968,0.172997844,0.762463743,22.55236449,1992,30,22.3099995,,25.444271,4.19183335,-1712500000,,-7,,,4686.7706,-0.26505,,4,L,,,LM,Not Democracy,8.452499053,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3238,POL3 Vaccine_Share of Population_KG,POL3 Vaccine,KGZ,Kyrgyzstan,err,,0.451422689,1988.256905,0.302743032,0.429578649,0.297559087,9.734666115,1992,30,,,,,,,,,,,,,,,,,err,,,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3239,Household Internet Access_Share of Households_AD,Household Internet Access,AND,Andorra,0.164766411,-2.15E+258,0.522485323,2005.498938,0.989779443,0.374477239,0.986679499,8.410665264,1996,24,,,,0.682690903,,,,6.0189433,6.515454,,,,0,H,,,H,,,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3240,POL3 Vaccine_Share of Population_MD,POL3 Vaccine,MDA,Republic of Moldova,err,,-0.113225329,2040.897884,0.45683111,-0.109591279,0.456041869,-38.81153804,1992,30,19.71253034,0.3990785,70.61388886,1.200974424,-219499586.2,4.588109454,8.037037037,5.9741874,6.696941,4442.422133,0.228128333,-0.57250033,0,LM,,,UM,Democracy,8.398955032,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3241,POL3 Vaccine_Share of Population_AZ,POL3 Vaccine,AZE,Azerbaijan,err,,0.055156113,1985.495275,0.884198171,0.040847073,0.883047304,79.67293109,1992,30,,,,,,,,,,,,,,,,,err,,,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3242,DTP3 Vaccine_Share of Population_RU,DTP3 Vaccine,RUS,Russian Federation,err,,0.262408859,1987.787559,0.903151601,0.244329536,0.900942747,16.74657317,1992,30,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],2.43565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3243,POL3 Vaccine_Share of Population_AM,POL3 Vaccine,ARM,Armenia,-4.76E-05,0.009854599,-0.496148048,2027.2648,0.095613986,-0.489863146,0.095106354,-8.857132816,1992,30,25.23888777,0.235576667,49.22644052,2.244490894,-290850460.8,4.629239953,4.222222222,6.8121028,7.97622165,7431.39693,0.6341825,-0.212459783,1,LM,,,UM,Not Democracy,8.913469132,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3244,RCV1 Vaccine_Share of Population_BA,RCV1 Vaccine,BIH,Bosnia and Herzegovina,err,,0.450533015,1991.929611,0.524474335,0.386881006,0.51264659,9.753889295,1992,30,,,,,,,,,,3830.2191,-1.395,,3,LM,,,LM,,8.250677287,2.78E-05,Low Material Use,1965,,1969,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3245,Zinc_Annual Production_DZ,Zinc,DZA,Algeria,0.063192464,-1.58E+84,1.587379023,1976.698345,0.595368036,1.344863357,0.585423089,2.768367914,1974,30,,,39.32859175,1.4950225,-172906145.6,,-9,,,4111.25,-0.373325,,4,,,,err,Not Democracy,8.321482398,0.478927203,Medium Material Use,,,1743,Customized [3],Complex [3],Firms [1],Expensive,Low,,Decades,No,No,No,Materials,Fixed Constructions,Annual Production,thousand metric tons
3246,DTP3 Vaccine_Share of Population_RS,DTP3 Vaccine,SRB,Serbia,err,,0.335011508,1985.966873,0.584968946,0.321895154,0.584046476,13.11730806,1992,30,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],2.43565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3247,POL3 Vaccine_Share of Population_BY,POL3 Vaccine,BLR,Belarus,err,,0.001932968,3905.027907,0.034978134,0.000309242,0.03496642,2273.420378,1992,30,32.30893697,0.668012,65.52922239,3.27331845,-980019570,3.940561843,-5.222222222,7.5433226,7.997394,13093.52767,0.861745833,-0.81718303,3,UM,,,UM,Not Democracy,9.479873316,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3248,HEPB3 Vaccine_Share of Population_KW,HEPB3 Vaccine,KWT,Kuwait,0.031231332,-1.27E+29,3.053883003,1992.144633,0.948139773,2.555967024,0.948511443,1.438971025,1992,30,7.995,,54.2178,0.9042374,1210684031,,-7,,,12965.0669,0.809,,5,H,,,H,Not Democracy,9.470013858,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3249,Household Internet Access_Share of Households_AG,Household Internet Access,ATG,Antigua and Barbuda,0.145078035,-1.63E+227,0.199190009,2011.632017,0.992564917,0.091624229,0.995903557,22.06159421,1995,25,11.470187,,80.71293556,0.670266771,-113949704,,,,,,,0.521424198,0,UM,,,H,,,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3250,DTP3 Vaccine_Share of Population_SI,DTP3 Vaccine,SVN,Slovenia,-0.29475263,0,-4.512126425,2021.497609,0.395077581,-4.460030943,0.395077675,-0.973919776,1992,30,,1.7610888,62.08427915,5.366211103,-310245702.6,6.68808858,10,6.4570928,6.6778477,23318.69346,1.454166667,0.988814716,1,H,,,H,Democracy,10.05701061,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],2.43565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3251,Household Internet Access_Share of Households_KM,Household Internet Access,COM,Comoros,0.28616563,#NAME?,0.188731377,2086.300546,0.968971532,err,0.395077675,23.28414714,1998,23,10.60427083,,28.44778956,0.346679406,-5878532.209,5.249504009,6,,,1425.756414,-1.115522222,-1.579617118,4,L,,,LM,Democracy,7.262457769,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3252,POL3 Vaccine_Share of Population_UZ,POL3 Vaccine,UZB,Uzbekistan,err,,0.457419719,1990.455718,0.535806851,0.398763368,0.525293567,9.607039157,1992,30,,,,,,,,,,,,,,,,,..,,,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3253,POL3 Vaccine_Share of Population_KZ,POL3 Vaccine,KAZ,Kazakhstan,err,,0.395870868,1988.943408,0.426877523,0.364351833,0.419828955,11.10071366,1992,30,,,,,,,,,,,,,,,,,err,,,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3254,Household Internet Access_Share of Households_AZ,Household Internet Access,AZE,Azerbaijan,err,,0.499705259,2010.142847,0.994431663,0.316518401,0.99156695,8.794082269,1994,26,18.59666669,0.281015333,43.57771865,1.950110356,-237727062.5,1.9611341,-6.588235294,,,7140.174582,-0.182489412,-0.842668724,3,L,,,UM,Not Democracy,8.873492506,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3255,MCV1 Vaccine_Share of Population_UZ,MCV1 Vaccine,UZB,Uzbekistan,err,,0.298191454,1987.554601,0.707571352,0.276562767,0.702811253,14.73700568,1992,30,,,,,,,,,,,,,,,,,err,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3256,RCV1 Vaccine_Share of Population_HR,RCV1 Vaccine,HRV,Croatia,err,,0.277269647,1981.343523,0.247571869,0.274515243,0.246940924,15.84900907,1992,30,,,,,,,,,,,,,,,,,err,,,2.78E-05,Low Material Use,1965,,1969,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3257,DTP1 Vaccine_Share of Population_BY,DTP1 Vaccine,BLR,Belarus,err,,0.000595335,4282.961277,0.008096443,0.000205139,0.008094248,7381.466875,1992,30,32.30893697,0.668012,65.52922239,3.27331845,-980019570,3.940561843,-5.222222222,7.5433226,7.997394,13093.52767,0.861745833,-0.81718303,3,UM,,,UM,Not Democracy,9.479873316,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],24.3565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3258,Household Internet Access_Share of Households_DM,Household Internet Access,DMA,Dominica,0.1920658,#NAME?,0.19748032,2008.333684,0.96253709,0.115557392,0.975156928,22.25259287,1995,25,10.61861407,,56.58372567,0.384575894,-26580081.8,,,,,6135.43275,,0.682168246,0,UM,,,UM,,8.721835893,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3259,MCV1 Vaccine_Share of Population_BY,MCV1 Vaccine,BLR,Belarus,err,,0.254282671,1980.048215,0.574409618,0.251467817,0.573715086,17.28174847,1992,30,,,,,,,,,,,,,,,,,err,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3260,DTP1 Vaccine_Share of Population_HR,DTP1 Vaccine,HRV,Croatia,err,,0.028141696,1892.863381,0.526015099,0.02716519,0.52605486,156.154383,1992,30,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],24.3565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3261,Nitrogen Fertilizer_Annual Production_LB,Nitrogen Fertilizer,LBN,Lebanon,-0.146965716,1.11E-16,2.151216697,1935.908887,0,2.301471624,1.11E-16,2.042773823,1966,11,,,,,,,,,,,,,,,,,err,,,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
3262,Steamships_Total Number_RU,Steamships,RUS,Russia,0.111077475,-5.87E+158,0.09327152,1920.311976,0.991334739,0.010598125,0.991029438,47.11458705,1865,49,,,,,,,-8.545454545,,,,,,,,,,err,Not Democracy,,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-
3263,HEPB3 Vaccine_Share of Population_IL,HEPB3 Vaccine,ISR,Israel,err,,0.333892721,1984.040308,0.622791127,0.328065567,0.621301947,13.16126074,1992,30,,,,,,,,,,,,,,,,,err,,,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3264,HEPB3 Vaccine_Share of Population_TH,HEPB3 Vaccine,THA,Thailand,0.064367613,-2.01E+85,1.228487641,1993.011183,0.965554732,0.937671244,0.973033644,3.577121175,1992,30,11.666667,,40.9555,3.08350675,-1768712263,,9,,,8686.65655,0.65085,,0,LM,,,LM,Democracy,9.069543397,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3265,Household Internet Access_Share of Households_KH,Household Internet Access,KHM,Cambodia,err,,0.555511901,2016.467796,0.994083403,0.271168014,0.993981487,7.910630082,1997,24,,0.084015,63.10239975,1.036274666,-872173805.9,0.598698368,1.55,,,2243.822985,-0.502842105,-0.875990529,3,L,,,LM,Not Democracy,7.71593638,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3266,DTP3 Vaccine_Share of Population_MD,DTP3 Vaccine,MDA,Republic of Moldova,-2.40E-05,0.012560642,0.630030872,1989.454928,0.285353513,0.60110832,0.280416383,6.974974323,1992,30,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],2.43565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3267,POL3 Vaccine_Share of Population_BA,POL3 Vaccine,BIH,Bosnia and Herzegovina,1.37E-05,0.023601276,0.447558575,1990.960678,0.486056739,0.398278,0.47512286,9.818712892,1992,30,,,,,,,,,,,,,,,,,..,,,4.35E-05,Low Material Use,1953,,1955,Standardized [1],Simple [1],Individuals [2],15.98,High,1,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3268,HEPB3 Vaccine_Share of Population_SY,HEPB3 Vaccine,SYR,Syrian Arab Republic,0.077991831,-3.81E+112,3.252717085,1993.195994,0.450682849,3.05406124,0.449772653,1.351008723,1992,30,,,39.2677155,,-109000000,,-9,,,10037.38125,0.2053,,4,LM,,,LM,Not Democracy,9.214071528,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3269,Radio_Total Number_OM,Radio,OMN,Oman,0.260975033,#NAME?,0.218009399,1993.574015,0.996300434,0.081234236,0.999145591,20.15715453,1970,30,9.550954545,,38.85185833,0.667902674,-103572458.9,,-9.84,,,8653.893364,0.733244,,5,,,,UM,Not Democracy,9.065764599,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
3270,Telegraph Traffic_Total Number_SG,Telegraph Traffic,SGP,Singapore,0.105004261,-1.88E+155,0.220963575,1972.054313,0.995935741,0.141804346,0.999505819,19.88766315,1963,29,,,135.501267,1.36862173,-140800000.1,,-4,,,5424.6,0.64304,,3,,,,err,Not Democracy,8.598699443,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
3271,HEPB3 Vaccine_Share of Population_DE,HEPB3 Vaccine,DEU,Germany,0.06278064,-3.36E+83,0.707862498,1994.964324,0.994840435,0.524227492,0.993901496,6.208054768,1993,29,,,20.93262167,3.6359773,19093000320,,10,,,28086.56757,2.011666667,,0,H,,,H,Democracy,10.24304672,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3272,MCV1 Vaccine_Share of Population_EE,MCV1 Vaccine,EST,Estonia,err,,0.415765064,1990.133781,0.821084261,0.390858065,0.817092178,10.56954885,1993,29,,,,,,,,,,,,,,,,,..,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3273,HEPB3 Vaccine_Share of Population_CU,HEPB3 Vaccine,CUB,Cuba,err,,14.37089274,1992.871864,0.543167087,14.02136197,0.543167075,0.305788181,1993,29,,,15.721621,,,,-7,,,2657.466,0.3332,,3,LM,,,LM,Not Democracy,7.885128316,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3274,MCV1 Vaccine_Share of Population_ER,MCV1 Vaccine,ERI,Eritrea,0.035937106,-6.17E+24,0.37900651,1993.874145,0.952828848,0.315480691,0.957240388,11.59465348,1993,29,,,77.182712,,,,-6,,,,0.09766,,3,L,,,L,Not Democracy,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3275,MCV1 Vaccine_Share of Population_CZ,MCV1 Vaccine,CZE,Czechia,-3.79E-05,0.00464557,-0.356389186,2031.000274,0.186374966,-0.000286014,0.004685117,-12.3304784,1993,29,6.86978936,1.417204,58.52531497,3.538526377,-3920708829,18.2554547,9.5,6.400833,6.866667,21917.8252,1.53526087,0.91346467,0,H,,,H,Democracy,9.995055521,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3276,HIB3 Vaccine_Share of Population_BE,HIB3 Vaccine,BEL,Belgium,0.056392097,-5.43E+71,1.007250159,1998.587841,0.962191668,0.806307529,0.960729797,4.36281803,1993,29,,1.82415,57.72014114,3.4449043,,,10,,,30100.11961,2.396857143,1.74084905,0,H,,,H,Democracy,10.31228442,5.60E-05,Low Material Use,,,1987,Standardized [1],Simple [1],Individuals [2],12.40133333,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3277,Pumped Hydro Storage_Cumulative Rated Power_JP,Pumped Hydro Storage,JPN,Japan,0.088241071,-8.78E+129,0.129693918,1984.992969,0.986889262,0.078918787,0.992390089,33.88323243,1961,29,,,11.35524202,13.9573305,,,10,,,16323.2,1.78832,,0,,,,err,Democracy,9.700342688,0,Medium Material Use,,,1907,Customized [3],Simple [1],Firms [1],2976000000,Low,40,Decades,No,No,No,Storage Technology,Electricity,Cumulative Rated Power,kW
3278,HEPB3 Vaccine_Share of Population_FJ,HEPB3 Vaccine,FJI,Fiji,err,,0.35762516,1990.026201,0.62156384,0.323051524,0.614354093,12.28786353,1993,29,,,,,,,,,,,,,,,,,LM,,,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3279,BCG Vaccine_Share of Population_MK,BCG Vaccine,MKD,Republic of North Macedonia,err,,0.463787955,1984.52327,0.025424555,0.459796667,0.025377946,9.475125656,1993,29,,,,,,,,,,,,,,,,,err,,,0.000366972,Low Material Use,1921,,1927,Standardized [1],Simple [1],Individuals [2],2.5,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3280,Household Internet Access_Share of Households_LR,Household Internet Access,LBR,Liberia,err,,0.368149079,2018.840245,0.990183351,0.120718904,0.990912179,11.93660233,1997,23,16.11534871,,,,-686202316.5,,4.157894737,,,861.0096227,-0.930342105,-1.360074585,3,L,,,L,Not Democracy,6.758105681,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3281,BCG Vaccine_Share of Population_ER,BCG Vaccine,ERI,Eritrea,0.03163684,-5.12E+29,0.565694333,1993.458194,0.965155423,0.469884566,0.965656399,7.768239667,1993,29,,,71.50331,,,,-6,,,,0.05472,,3,L,,,L,Not Democracy,,0.000366972,Low Material Use,1921,,1927,Standardized [1],Simple [1],Individuals [2],2.5,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3282,BCG Vaccine_Share of Population_EE,BCG Vaccine,EST,Estonia,-0.025838827,-2.22E-16,-0.164307667,2034.535286,0.951214039,-0.159146424,0.950514634,-26.74524705,1993,29,,1.243177826,72.9534095,1.745362768,-707649438.6,18.50794247,8.230769231,7.462492,7.6477494,20190.41915,1.458426087,0.997081313,0,H,,,H,Democracy,9.912963471,0.000366972,Low Material Use,1921,,1927,Standardized [1],Simple [1],Individuals [2],2.5,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3283,MCV1 Vaccine_Share of Population_PS,MCV1 Vaccine,PSE,State of Palestine,err,,0.125846511,1976.979812,0.417675051,0.119502386,0.416942443,34.91911777,1993,29,,,,,,,,,,,,,,,,,err,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3284,HIB3 Vaccine_Share of Population_DK,HIB3 Vaccine,DNK,Denmark,err,,0.554176211,1989.757067,0.376577754,0.534413171,0.37436984,7.929696483,1993,29,,,,,,,,,,,,,,,,,H,,,5.60E-05,Low Material Use,,,1987,Standardized [1],Simple [1],Individuals [2],12.40133333,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3285,HEPB3 Vaccine_Share of Population_US,HEPB3 Vaccine,USA,United States,0.0620811,-5.18E+82,1.204750812,1994.163581,0.98903579,0.858569497,0.991901095,3.647600078,1993,29,6.56916665,,10.829875,2.3278329,33310000000,,10,,,38284.4076,1.9485,,2,H,,,H,Democracy,10.55279798,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3286,HEPB3 Vaccine_Share of Population_MV,HEPB3 Vaccine,MDV,Maldives,0.054279492,-1.79E+69,0.347673538,1993.702497,0.639796441,0.310520262,0.646979066,12.63958477,1993,29,,,79.467808,,-7821433.101,,,,,,,,3,LM,,,LM,,,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3287,HEPB3 Vaccine_Share of Population_AE,HEPB3 Vaccine,ARE,United Arab Emirates,err,,0.019835799,1919.358865,0.552556001,0.0164998,0.552400954,221.5413183,1993,29,,,,,,,,,,,,,,,,,err,,,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3288,MCV1 Vaccine_Share of Population_MK,MCV1 Vaccine,MKD,Republic of North Macedonia,-0.012016866,1.63E-11,0.966824575,1962.721339,-9.53E-14,2.96781161,-3.51E-14,4.545239403,1993,29,,,,,,,,,,,,,,,,,err,,,2.78E-05,Low Material Use,,,1963,Standardized [1],Simple [1],Individuals [2],24.9625,High,2,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3289,Household Internet Access_Share of Households_PS,Household Internet Access,PSE,West Bank and Gaza,0.199051138,#NAME?,0.228584636,2012.563587,0.981244381,0.117775709,0.989517926,19.22460422,2000,23,7.13019994,0.303746,62.39916643,1.908494607,-14802956.61,0.165062659,,6.264,7.372,4544.963229,,,,LM,,,LM,,8.421774916,,,,,n/d,Standardized [1],Simple [1],Individuals [2],,Medium,,Decades,No,No,,Digitalization,Physics,Share of Households,%
3290,HEPB3 Vaccine_Share of Population_SB,HEPB3 Vaccine,SLB,Solomon Islands,0.017700579,-29596.6624,0.29548893,1990.460778,0.549720161,0.281599685,0.555861468,14.87178948,1993,29,,,,,,,,,,,,,,,,,L,,,4.66E-05,Low Material Use,1965,,1986,Standardized [1],Simple [1],Individuals [2],14.917,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3291,DTP1 Vaccine_Share of Population_CZ,DTP1 Vaccine,CZE,Czechia,err,,0.283872774,1974.556329,0.100467349,0.283433328,0.100379928,15.48034738,1993,29,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],24.3565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3292,DTP3 Vaccine_Share of Population_CZ,DTP3 Vaccine,CZE,Czechia,err,,1.12962589,1959.131885,0,1.203071726,-2.12E-12,3.890180983,1993,29,,,,,,,,,,,,,,,,,err,,,2.85E-05,Low Material Use,1914,,1949,Standardized [1],Simple [1],Individuals [2],2.43565,High,1.5,Months,No,No,No,Food and Health,Human Necessities,Share of Population,%
3293,HIB3 Vaccine_Share of Population_GB,HIB3 Vaccine,GBR,United Kingdom,err,,0.001206323,3730.106188,0.271175204,0.000199653,0.271171774,3642.845533,1993,29,4.047553398,1.610600833,28.92478161,3.123683623,8016047511,22.5623086,9.769230769,7.3850947,6.785895,33600.30497,1.848391304,1.625193535,0,H,,,H,Democracy,10.42229042,5.60E-05,Low Material Use,,,1987,Standardized [1],Simple [1],Individuals [2],12.40133333,High,3,Years,No,No,No,Food and Health,Human Necessities,Share of Population,%
3294,Nitrogen Fertilizer_Annual Production_KZ,Nitrogen Fertilizer,KAZ,Kazakhstan,0.033139959,-2.16E+30,0.090716819,2129.155265,0.652941232,err,0.271171774,48.44139392,1992,29,,0.191122,37.03356927,2.360737907,-5155197440,32.25448167,-5.666666667,7.95218175,7.72316,15598.74921,0.494189167,-0.442059034,3,UM,,,UM,Not Democracy,9.654946011,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
